Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
"Fiber, total dietary (g)",g,7.54,7.54,43101150
Energy (kcal),kcal,363.1,363.1,43101150
Protein (g),g,11.73,11.73,43102000
Carbohydrate (g),g,22.09,22.09,43102000
Total Fat (g),g,19.4,19.4,43102000
"Fiber, total dietary (g)",g,7.89,7.89,43102000
Energy (kcal),kcal,309.9,309.9,43102000
Protein (g),g,17.37,17.37,43102100
Carbohydrate (g),g,18.81,18.81,43102100
Total Fat (g),g,24.71,24.71,43102100
"Fiber, total dietary (g)",g,10.36,10.36,43102100
Energy (kcal),kcal,367.1,367.1,43102100
Protein (g),g,16.68,16.68,43102300
Carbohydrate (g),g,26.51,26.51,43102300
Total Fat (g),g,23.72,23.72,43102300
"Fiber, total dietary (g)",g,9.29,9.29,43102300
Energy (kcal),kcal,386.2,386.2,43102300
Protein (g),g,10.86,10.86,43102400
Carbohydrate (g),g,17.02,17.02,43102400
Total Fat (g),g,20.55,20.55,43102400
"Fiber, total dietary (g)",g,7.53,7.53,43102400
Energy (kcal),kcal,296.5,296.5,43102400
Protein (g),g,18.11,18.11,43103000
Carbohydrate (g),g,19.97,19.97,43103000
Total Fat (g),g,27.32,27.32,43103000
"Fiber, total dietary (g)",g,9.0,9.0,43103000
Energy (kcal),kcal,398.2,398.2,43103000
Protein (g),g,15.78,15.78,43103300
Carbohydrate (g),g,20.12,20.12,43103300
Total Fat (g),g,26.16,26.16,43103300
"Fiber, total dietary (g)",g,7.24,7.24,43103300
Energy (kcal),kcal,379.0,379.0,43103300
Protein (g),g,11.25,11.25,43104000
Carbohydrate (g),g,28.51,28.51,43104000
Total Fat (g),g,19.41,19.41,43104000
"Fiber, total dietary (g)",g,5.95,5.95,43104000
Energy (kcal),kcal,333.7,333.7,43104000
Protein (g),g,18.41,18.41,43107000
Carbohydrate (g),g,19.38,19.38,43107000
Total Fat (g),g,27.25,27.25,43107000
"Fiber, total dietary (g)",g,7.18,7.18,43107000
Energy (kcal),kcal,396.4,396.4,43107000
Protein (g),g,14.02,14.02,43108010
Carbohydrate (g),g,18.86,18.86,43108010
Total Fat (g),g,22.65,22.65,43108010
"Fiber, total dietary (g)",g,7.57,7.57,43108010
Energy (kcal),kcal,335.4,335.4,43108010
Protein (g),g,9.06,9.06,51000100
Carbohydrate (g),g,50.35,50.35,51000100
Total Fat (g),g,6.33,6.33,51000100
"Fiber, total dietary (g)",g,2.9,2.9,51000100
Energy (kcal),kcal,294.6,294.6,51000100
Protein (g),g,8.01,8.01,51000110
Carbohydrate (g),g,52.53,52.53,51000110
Total Fat (g),g,6.26,6.26,51000110
"Fiber, total dietary (g)",g,2.92,2.92,51000110
Energy (kcal),kcal,298.5,298.5,51000110
Protein (g),g,8.35,8.35,51000180
Carbohydrate (g),g,60.61,60.61,51000180
Total Fat (g),g,4.23,4.23,51000180
"Fiber, total dietary (g)",g,4.9,4.9,51000180
Energy (kcal),kcal,313.9,313.9,51000180
Protein (g),g,5.69,5.69,51000190
Carbohydrate (g),g,56.97,56.97,51000190
Total Fat (g),g,6.3,6.3,51000190
"Fiber, total dietary (g)",g,4.38,4.38,51000190
Energy (kcal),kcal,307.3,307.3,51000190
Protein (g),g,7.71,7.71,51000200
Carbohydrate (g),g,36.35,36.35,51000200
Total Fat (g),g,6.26,6.26,51000200
"Fiber, total dietary (g)",g,3.93,3.93,51000200
Energy (kcal),kcal,232.6,232.6,51000200
Protein (g),g,5.74,5.74,51000300
Carbohydrate (g),g,55.69,55.69,51000300
Total Fat (g),g,4.95,4.95,51000300
"Fiber, total dietary (g)",g,3.1,3.1,51000300
Energy (kcal),kcal,290.3,290.3,51000300
Protein (g),g,6.63,6.63,51000400
Carbohydrate (g),g,36.93,36.93,51000400
Total Fat (g),g,5.22,5.22,51000400
"Fiber, total dietary (g)",g,4.29,4.29,51000400
Energy (kcal),kcal,221.2,221.2,51000400
Protein (g),g,8.03,8.03,51101000
Carbohydrate (g),g,59.51,59.51,51101000
Total Fat (g),g,6.08,6.08,51101000
"Fiber, total dietary (g)",g,4.28,4.28,51101000
Energy (kcal),kcal,324.9,324.9,51101000
Protein (g),g,5.66,5.66,51101010
Carbohydrate (g),g,55.86,55.86,51101010
Total Fat (g),g,4.75,4.75,51101010
"Fiber, total dietary (g)",g,4.16,4.16,51101010
Energy (kcal),kcal,288.8,288.8,51101010
Protein (g),g,8.72,8.72,51101050
Carbohydrate (g),g,45.51,45.51,51101050
Total Fat (g),g,6.25,6.25,51101050
"Fiber, total dietary (g)",g,3.12,3.12,51101050
Energy (kcal),kcal,273.2,273.2,51101050
Protein (g),g,8.82,8.82,51101060
Carbohydrate (g),g,35.13,35.13,51101060
Total Fat (g),g,6.27,6.27,51101060
"Fiber, total dietary (g)",g,3.07,3.07,51101060
Energy (kcal),kcal,232.2,232.2,51101060
Protein (g),g,6.06,6.06,51102010
Carbohydrate (g),g,44.99,44.99,51102010
Total Fat (g),g,4.62,4.62,51102010
"Fiber, total dietary (g)",g,3.31,3.31,51102010
Energy (kcal),kcal,245.8,245.8,51102010
Protein (g),g,8.41,8.41,51102020
Carbohydrate (g),g,48.29,48.29,51102020
Total Fat (g),g,3.6,3.6,51102020
"Fiber, total dietary (g)",g,3.57,3.57,51102020
Energy (kcal),kcal,259.2,259.2,51102020
Protein (g),g,9.49,9.49,51105010
Carbohydrate (g),g,55.69,55.69,51105010
Total Fat (g),g,5.67,5.67,51105010
"Fiber, total dietary (g)",g,4.48,4.48,51105010
Energy (kcal),kcal,311.8,311.8,51105010
Protein (g),g,7.09,7.09,51105040
Carbohydrate (g),g,37.99,37.99,51105040
Total Fat (g),g,4.32,4.32,51105040
"Fiber, total dietary (g)",g,4.8,4.8,51105040
Energy (kcal),kcal,219.2,219.2,51105040
Protein (g),g,10.31,10.31,51106010
Carbohydrate (g),g,49.82,49.82,51106010
Total Fat (g),g,3.53,3.53,51106010
"Fiber, total dietary (g)",g,3.14,3.14,51106010
Energy (kcal),kcal,272.3,272.3,51106010
Protein (g),g,7.15,7.15,51106020
Carbohydrate (g),g,52.36,52.36,51106020
Total Fat (g),g,3.73,3.73,51106020
"Fiber, total dietary (g)",g,5.06,5.06,51106020
Energy (kcal),kcal,271.6,271.6,51106020
Protein (g),g,7.35,7.35,51106200
Carbohydrate (g),g,62.38,62.38,51106200
Total Fat (g),g,5.84,5.84,51106200
"Fiber, total dietary (g)",g,4.61,4.61,51106200
Energy (kcal),kcal,331.5,331.5,51106200
Protein (g),g,8.51,8.51,51106210
Carbohydrate (g),g,53.8,53.8,51106210
Total Fat (g),g,5.41,5.41,51106210
"Fiber, total dietary (g)",g,4.31,4.31,51106210
Energy (kcal),kcal,297.9,297.9,51106210
Protein (g),g,8.26,8.26,51107010
Carbohydrate (g),g,64.59,64.59,51107010
Total Fat (g),g,5.7,5.7,51107010
"Fiber, total dietary (g)",g,4.66,4.66,51107010
Energy (kcal),kcal,342.7,342.7,51107010
Protein (g),g,9.79,9.79,51107040
Carbohydrate (g),g,41.47,41.47,51107040
Total Fat (g),g,3.75,3.75,51107040
"Fiber, total dietary (g)",g,3.96,3.96,51107040
Energy (kcal),kcal,238.8,238.8,51107040
Protein (g),g,8.07,8.07,51108010
Carbohydrate (g),g,59.88,59.88,51108010
Total Fat (g),g,4.83,4.83,51108010
"Fiber, total dietary (g)",g,4.17,4.17,51108010
Energy (kcal),kcal,315.3,315.3,51108010
Protein (g),g,8.13,8.13,51108100
Carbohydrate (g),g,36.15,36.15,51108100
Total Fat (g),g,5.35,5.35,51108100
"Fiber, total dietary (g)",g,4.79,4.79,51108100
Energy (kcal),kcal,225.3,225.3,51108100
Protein (g),g,6.36,6.36,51109010
Carbohydrate (g),g,52.83,52.83,51109010
Total Fat (g),g,5.28,5.28,51109010
"Fiber, total dietary (g)",g,3.19,3.19,51109010
Energy (kcal),kcal,284.3,284.3,51109010
Protein (g),g,6.19,6.19,51109040
Carbohydrate (g),g,64.4,64.4,51109040
Total Fat (g),g,4.68,4.68,51109040
"Fiber, total dietary (g)",g,3.35,3.35,51109040
Energy (kcal),kcal,324.5,324.5,51109040
Protein (g),g,6.42,6.42,51109100
Carbohydrate (g),g,55.03,55.03,51109100
Total Fat (g),g,5.33,5.33,51109100
"Fiber, total dietary (g)",g,4.34,4.34,51109100
Energy (kcal),kcal,293.8,293.8,51109100
Protein (g),g,6.02,6.02,51109150
Carbohydrate (g),g,61.81,61.81,51109150
Total Fat (g),g,4.67,4.67,51109150
"Fiber, total dietary (g)",g,3.55,3.55,51109150
Energy (kcal),kcal,313.4,313.4,51109150
Protein (g),g,7.82,7.82,51111010
Carbohydrate (g),g,46.7,46.7,51111010
Total Fat (g),g,6.09,6.09,51111010
"Fiber, total dietary (g)",g,5.03,5.03,51111010
Energy (kcal),kcal,272.9,272.9,51111010
Protein (g),g,7.06,7.06,51111040
Carbohydrate (g),g,60.92,60.92,51111040
Total Fat (g),g,5.84,5.84,51111040
"Fiber, total dietary (g)",g,5.03,5.03,51111040
Energy (kcal),kcal,324.5,324.5,51111040
Protein (g),g,6.78,6.78,51113010
Carbohydrate (g),g,52.31,52.31,51113010
Total Fat (g),g,4.32,4.32,51113010
"Fiber, total dietary (g)",g,4.78,4.78,51113010
Energy (kcal),kcal,275.2,275.2,51113010
Protein (g),g,5.63,5.63,51113100
Carbohydrate (g),g,51.94,51.94,51113100
Total Fat (g),g,4.52,4.52,51113100
"Fiber, total dietary (g)",g,3.57,3.57,51113100
Energy (kcal),kcal,271.0,271.0,51113100
Protein (g),g,8.7,8.7,51115010
Carbohydrate (g),g,60.54,60.54,51115010
Total Fat (g),g,5.33,5.33,51115010
"Fiber, total dietary (g)",g,4.85,4.85,51115010
Energy (kcal),kcal,324.9,324.9,51115010
Protein (g),g,6.87,6.87,51115020
Carbohydrate (g),g,50.59,50.59,51115020
Total Fat (g),g,4.85,4.85,51115020
"Fiber, total dietary (g)",g,2.83,2.83,51115020
Energy (kcal),kcal,273.5,273.5,51115020
Protein (g),g,8.27,8.27,51119010
Carbohydrate (g),g,54.85,54.85,51119010
Total Fat (g),g,5.28,5.28,51119010
"Fiber, total dietary (g)",g,4.57,4.57,51119010
Energy (kcal),kcal,300.0,300.0,51119010
Protein (g),g,8.34,8.34,51119040
Carbohydrate (g),g,37.0,37.0,51119040
Total Fat (g),g,3.85,3.85,51119040
"Fiber, total dietary (g)",g,4.23,4.23,51119040
Energy (kcal),kcal,216.0,216.0,51119040
Protein (g),g,6.92,6.92,51121015
Carbohydrate (g),g,37.39,37.39,51121015
Total Fat (g),g,4.79,4.79,51121015
"Fiber, total dietary (g)",g,4.13,4.13,51121015
Energy (kcal),kcal,220.4,220.4,51121015
Protein (g),g,7.18,7.18,51121025
Carbohydrate (g),g,56.61,56.61,51121025
Total Fat (g),g,5.43,5.43,51121025
"Fiber, total dietary (g)",g,3.6,3.6,51121025
Energy (kcal),kcal,304.0,304.0,51121025
Protein (g),g,9.22,9.22,51121035
Carbohydrate (g),g,54.46,54.46,51121035
Total Fat (g),g,5.41,5.41,51121035
"Fiber, total dietary (g)",g,4.13,4.13,51121035
Energy (kcal),kcal,303.4,303.4,51121035
Protein (g),g,5.65,5.65,51121045
Carbohydrate (g),g,55.9,55.9,51121045
Total Fat (g),g,4.63,4.63,51121045
"Fiber, total dietary (g)",g,5.06,5.06,51121045
Energy (kcal),kcal,287.9,287.9,51121045
Protein (g),g,9.53,9.53,51121055
Carbohydrate (g),g,52.63,52.63,51121055
Total Fat (g),g,4.26,4.26,51121055
"Fiber, total dietary (g)",g,3.29,3.29,51121055
Energy (kcal),kcal,287.0,287.0,51121055
Protein (g),g,7.23,7.23,51121065
Carbohydrate (g),g,49.3,49.3,51121065
Total Fat (g),g,4.39,4.39,51121065
"Fiber, total dietary (g)",g,4.04,4.04,51121065
Energy (kcal),kcal,265.6,265.6,51121065
Protein (g),g,6.39,6.39,51121075
Carbohydrate (g),g,64.33,64.33,51121075
Total Fat (g),g,3.82,3.82,51121075
"Fiber, total dietary (g)",g,5.04,5.04,51121075
Energy (kcal),kcal,317.3,317.3,51121075
Protein (g),g,9.99,9.99,51121110
Carbohydrate (g),g,50.76,50.76,51121110
Total Fat (g),g,5.67,5.67,51121110
"Fiber, total dietary (g)",g,3.85,3.85,51121110
Energy (kcal),kcal,294.0,294.0,51121110
Protein (g),g,8.62,8.62,51121120
Carbohydrate (g),g,45.22,45.22,51121120
Total Fat (g),g,4.4,4.4,51121120
"Fiber, total dietary (g)",g,4.19,4.19,51121120
Energy (kcal),kcal,255.0,255.0,51121120
Protein (g),g,7.99,7.99,51122000
Carbohydrate (g),g,52.39,52.39,51122000
Total Fat (g),g,4.36,4.36,51122000
"Fiber, total dietary (g)",g,3.68,3.68,51122000
Energy (kcal),kcal,280.8,280.8,51122000
Protein (g),g,6.0,6.0,51122010
Carbohydrate (g),g,36.57,36.57,51122010
Total Fat (g),g,4.26,4.26,51122010
"Fiber, total dietary (g)",g,2.98,2.98,51122010
Energy (kcal),kcal,208.6,208.6,51122010
Protein (g),g,6.1,6.1,51122100
Carbohydrate (g),g,59.39,59.39,51122100
Total Fat (g),g,3.62,3.62,51122100
"Fiber, total dietary (g)",g,4.38,4.38,51122100
Energy (kcal),kcal,294.5,294.5,51122100
Protein (g),g,6.91,6.91,51122110
Carbohydrate (g),g,61.15,61.15,51122110
Total Fat (g),g,4.95,4.95,51122110
"Fiber, total dietary (g)",g,3.53,3.53,51122110
Energy (kcal),kcal,316.8,316.8,51122110
Protein (g),g,8.08,8.08,51122300
Carbohydrate (g),g,46.46,46.46,51122300
Total Fat (g),g,5.19,5.19,51122300
"Fiber, total dietary (g)",g,3.07,3.07,51122300
Energy (kcal),kcal,264.9,264.9,51122300
Protein (g),g,10.39,10.39,51122310
Carbohydrate (g),g,47.77,47.77,51122310
Total Fat (g),g,4.54,4.54,51122310
"Fiber, total dietary (g)",g,4.5,4.5,51122310
Energy (kcal),kcal,273.5,273.5,51122310
Protein (g),g,7.35,7.35,51123020
Carbohydrate (g),g,60.0,60.0,51123020
Total Fat (g),g,4.86,4.86,51123020
"Fiber, total dietary (g)",g,4.53,4.53,51123020
Energy (kcal),kcal,313.1,313.1,51123020
Protein (g),g,6.12,6.12,51127010
Carbohydrate (g),g,60.38,60.38,51127010
Total Fat (g),g,5.71,5.71,51127010
"Fiber, total dietary (g)",g,3.31,3.31,51127010
Energy (kcal),kcal,317.4,317.4,51127010
Protein (g),g,6.3,6.3,51127020
Carbohydrate (g),g,44.49,44.49,51127020
Total Fat (g),g,6.43,6.43,51127020
"Fiber, total dietary (g)",g,3.42,3.42,51127020
Energy (kcal),kcal,261.0,261.0,51127020
Protein (g),g,7.79,7.79,51129010
Carbohydrate (g),g,35.9,35.9,51129010
Total Fat (g),g,4.69,4.69,51129010
"Fiber, total dietary (g)",g,4.17,4.17,51129010
Energy (kcal),kcal,217.0,217.0,51129010
Protein (g),g,10.17,10.17,51129020
Carbohydrate (g),g,50.5,50.5,51129020
Total Fat (g),g,5.96,5.96,51129020
"Fiber, total dietary (g)",g,4.11,4.11,51129020
Energy (kcal),kcal,296.3,296.3,51129020
Protein (g),g,5.8,5.8,51133010
Carbohydrate (g),g,44.45,44.45,51133010
Total Fat (g),g,5.23,5.23,51133010
"Fiber, total dietary (g)",g,5.08,5.08,51133010
Energy (kcal),kcal,248.1,248.1,51133010
Protein (g),g,9.72,9.72,51133020
Carbohydrate (g),g,41.85,41.85,51133020
Total Fat (g),g,4.16,4.16,51133020
"Fiber, total dietary (g)",g,3.28,3.28,51133020
Energy (kcal),kcal,243.7,243.7,51133020
Protein (g),g,10.03,10.03,51134000
Carbohydrate (g),g,60.58,60.58,51134000
Total Fat (g),g,5.82,5.82,51134000
"Fiber, total dietary (g)",g,3.74,3.74,51134000
Energy (kcal),kcal,334.8,334.8,51134000
Protein (g),g,8.02,8.02,51134010
Carbohydrate (g),g,48.93,48.93,51134010
Total Fat (g),g,4.26,4.26,51134010
"Fiber, total dietary (g)",g,4.01,4.01,51134010
Energy (kcal),kcal,266.1,266.1,51134010
Protein (g),g,5.75,5.75,51135000
Carbohydrate (g),g,38.95,38.95,51135000
Total Fat (g),g,6.16,6.16,51135000
"Fiber, total dietary (g)",g,4.6,4.6,51135000
Energy (kcal),kcal,234.2,234.2,51135000
Protein (g),g,7.63,7.63,51135010
Carbohydrate (g),g,50.51,50.51,51135010
Total Fat (g),g,4.61,4.61,51135010
"Fiber, total dietary (g)",g,4.58,4.58,51135010
Energy (kcal),kcal,274.1,274.1,51135010
Protein (g),g,9.36,9.36,51136000
Carbohydrate (g),g,57.9,57.9,51136000
Total Fat (g),g,5.67,5.67,51136000
"Fiber, total dietary (g)",g,3.29,3.29,51136000
Energy (kcal),kcal,320.1,320.1,51136000
Protein (g),g,7.22,7.22,51140100
Carbohydrate (g),g,49.1,49.1,51140100
Total Fat (g),g,4.49,4.49,51140100
"Fiber, total dietary (g)",g,4.61,4.61,51140100
Energy (kcal),kcal,265.7,265.7,51140100
Protein (g),g,7.18,7.18,51150000
Carbohydrate (g),g,39.15,39.15,51150000
Total Fat (g),g,4.7,4.7,51150000
"Fiber, total dietary (g)",g,5.15,5.15,51150000
Energy (kcal),kcal,227.6,227.6,51150000
Protein (g),g,6.68,6.68,51153000
Carbohydrate (g),g,53.36,53.36,51153000
Total Fat (g),g,4.8,4.8,51153000
"Fiber, total dietary (g)",g,2.97,2.97,51153000
Energy (kcal),kcal,283.4,283.4,51153000
Protein (g),g,7.94,7.94,51154010
Carbohydrate (g),g,56.06,56.06,51154010
Total Fat (g),g,5.04,5.04,51154010
"Fiber, total dietary (g)",g,4.89,4.89,51154010
Energy (kcal),kcal,301.4,301.4,51154010
Protein (g),g,6.99,6.99,51154100
Carbohydrate (g),g,37.59,37.59,51154100
Total Fat (g),g,6.31,6.31,51154100
"Fiber, total dietary (g)",g,3.71,3.71,51154100
Energy (kcal),kcal,235.1,235.1,51154100
Protein (g),g,8.37,8.37,51154510
Carbohydrate (g),g,58.76,58.76,51154510
Total Fat (g),g,4.47,4.47,51154510
"Fiber, total dietary (g)",g,4.52,4.52,51154510
Energy (kcal),kcal,308.8,308.8,51154510
Protein (g),g,6.25,6.25,51154550
Carbohydrate (g),g,43.74,43.74,51154550
Total Fat (g),g,3.93,3.93,51154550
"Fiber, total dietary (g)",g,4.75,4.75,51154550
Energy (kcal),kcal,235.3,235.3,51154550
Protein (g),g,6.67,6.67,51154600
Carbohydrate (g),g,56.52,56.52,51154600
Total Fat (g),g,6.33,6.33,51154600
"Fiber, total dietary (g)",g,4.07,4.07,51154600
Energy (kcal),kcal,309.7,309.7,51154600
Protein (g),g,8.19,8.19,51155000
Carbohydrate (g),g,48.83,48.83,51155000
Total Fat (g),g,4.48,4.48,51155000
"Fiber, total dietary (g)",g,3.94,3.94,51155000
Energy (kcal),kcal,268.4,268.4,51155000
Protein (g),g,8.49,8.49,51156500
Carbohydrate (g),g,64.58,64.58,51156500
Total Fat (g),g,6.31,6.31,51156500
"Fiber, total dietary (g)",g,4.87,4.87,51156500
Energy (kcal),kcal,349.1,349.1,51156500
Protein (g),g,9.87,9.87,51157000
Carbohydrate (g),g,49.04,49.04,51157000
Total Fat (g),g,5.47,5.47,51157000
"Fiber, total dietary (g)",g,4.95,4.95,51157000
Energy (kcal),kcal,284.9,284.9,51157000
Protein (g),g,7.49,7.49,51158100
Carbohydrate (g),g,63.85,63.85,51158100
Total Fat (g),g,4.75,4.75,51158100
"Fiber, total dietary (g)",g,4.24,4.24,51158100
Energy (kcal),kcal,328.1,328.1,51158100
Protein (g),g,9.01,9.01,51159000
Carbohydrate (g),g,63.52,63.52,51159000
Total Fat (g),g,4.23,4.23,51159000
"Fiber, total dietary (g)",g,4.59,4.59,51159000
Energy (kcal),kcal,328.2,328.2,51159000
Protein (g),g,8.1,8.1,51160000
Carbohydrate (g),g,43.06,43.06,51160000
Total Fat (g),g,5.83,5.83,51160000
"Fiber, total dietary (g)",g,4.13,4.13,51160000
Energy (kcal),kcal,257.1,257.1,51160000
Protein (g),g,8.77,8.77,51160100
Carbohydrate (g),g,44.69,44.69,51160100
Total Fat (g),g,4.94,4.94,51160100
"Fiber, total dietary (g)",g,4.28,4.28,51160100
Energy (kcal),kcal,258.3,258.3,51160100
Protein (g),g,7.54,7.54,51160110
Carbohydrate (g),g,40.95,40.95,51160110
Total Fat (g),g,6.38,6.38,51160110
"Fiber, total dietary (g)",g,4.03,4.03,51160110
Energy (kcal),kcal,251.4,251.4,51160110
Protein (g),g,9.12,9.12,51160200
Carbohydrate (g),g,47.33,47.33,51160200
Total Fat (g),g,4.57,4.57,51160200
"Fiber, total dietary (g)",g,3.78,3.78,51160200
Energy (kcal),kcal,266.9,266.9,51160200
Protein (g),g,7.56,7.56,51161000
Carbohydrate (g),g,51.33,51.33,51161000
Total Fat (g),g,5.13,5.13,51161000
"Fiber, total dietary (g)",g,3.99,3.99,51161000
Energy (kcal),kcal,281.7,281.7,51161000
Protein (g),g,6.25,6.25,51161020
Carbohydrate (g),g,49.88,49.88,51161020
Total Fat (g),g,4.01,4.01,51161020
"Fiber, total dietary (g)",g,3.1,3.1,51161020
Energy (kcal),kcal,260.6,260.6,51161020
Protein (g),g,10.08,10.08,51161030
Carbohydrate (g),g,53.15,53.15,51161030
Total Fat (g),g,5.48,5.48,51161030
"Fiber, total dietary (g)",g,3.76,3.76,51161030
Energy (kcal),kcal,302.2,302.2,51161030
Protein (g),g,9.96,9.96,51161050
Carbohydrate (g),g,54.14,54.14,51161050
Total Fat (g),g,5.81,5.81,51161050
"Fiber, total dietary (g)",g,3.68,3.68,51161050
Energy (kcal),kcal,308.7,308.7,51161050
Protein (g),g,10.21,10.21,51161250
Carbohydrate (g),g,59.61,59.61,51161250
Total Fat (g),g,6.06,6.06,51161250
"Fiber, total dietary (g)",g,3.21,3.21,51161250
Energy (kcal),kcal,333.8,333.8,51161250
Protein (g),g,6.9,6.9,51161270
Carbohydrate (g),g,43.57,43.57,51161270
Total Fat (g),g,4.31,4.31,51161270
"Fiber, total dietary (g)",g,4.85,4.85,51161270
Energy (kcal),kcal,240.7,240.7,51161270
Protein (g),g,5.75,5.75,51161280
Carbohydrate (g),g,37.28,37.28,51161280
Total Fat (g),g,4.32,4.32,51161280
"Fiber, total dietary (g)",g,3.28,3.28,51161280
Energy (kcal),kcal,211.0,211.0,51161280
Protein (g),g,6.71,6.71,51165000
Carbohydrate (g),g,58.94,58.94,51165000
Total Fat (g),g,5.19,5.19,51165000
"Fiber, total dietary (g)",g,2.81,2.81,51165000
Energy (kcal),kcal,309.3,309.3,51165000
Protein (g),g,7.66,7.66,51166000
Carbohydrate (g),g,47.24,47.24,51166000
Total Fat (g),g,3.84,3.84,51166000
"Fiber, total dietary (g)",g,4.42,4.42,51166000
Energy (kcal),kcal,254.2,254.2,51166000
Protein (g),g,8.97,8.97,51166100
Carbohydrate (g),g,56.63,56.63,51166100
Total Fat (g),g,5.69,5.69,51166100
"Fiber, total dietary (g)",g,2.8,2.8,51166100
Energy (kcal),kcal,313.6,313.6,51166100
Protein (g),g,10.18,10.18,51166200
Carbohydrate (g),g,59.43,59.43,51166200
Total Fat (g),g,6.21,6.21,51166200
"Fiber, total dietary (g)",g,2.84,2.84,51166200
Energy (kcal),kcal,334.3,334.3,51166200
Protein (g),g,10.08,10.08,51166500
Carbohydrate (g),g,59.29,59.29,51166500
Total Fat (g),g,6.01,6.01,51166500
"Fiber, total dietary (g)",g,3.02,3.02,51166500
Energy (kcal),kcal,331.6,331.6,51166500
Protein (g),g,9.15,9.15,51167000
Carbohydrate (g),g,63.8,63.8,51167000
Total Fat (g),g,5.54,5.54,51167000
"Fiber, total dietary (g)",g,4.17,4.17,51167000
Energy (kcal),kcal,341.7,341.7,51167000
Protein (g),g,10.14,10.14,51168000
Carbohydrate (g),g,48.29,48.29,51168000
Total Fat (g),g,5.3,5.3,51168000
"Fiber, total dietary (g)",g,3.94,3.94,51168000
Energy (kcal),kcal,281.4,281.4,51168000
Protein (g),g,10.08,10.08,51180010
Carbohydrate (g),g,37.28,37.28,51180010
Total Fat (g),g,5.0,5.0,51180010
"Fiber, total dietary (g)",g,4.45,4.45,51180010
Energy (kcal),kcal,234.4,234.4,51180010
Protein (g),g,9.4,9.4,51180030
Carbohydrate (g),g,52.49,52.49,51180030
Total Fat (g),g,6.23,6.23,51180030
"Fiber, total dietary (g)",g,5.06,5.06,51180030
Energy (kcal),kcal,303.6,303.6,51180030
Protein (g),g,5.91,5.91,51180080
Carbohydrate (g),g,47.07,47.07,51180080
Total Fat (g),g,3.57,3.57,51180080
"Fiber, total dietary (g)",g,3.59,3.59,51180080
Energy (kcal),kcal,244.1,244.1,51180080
Protein (g),g,8.18,8.18,51182010
Carbohydrate (g),g,62.32,62.32,51182010
Total Fat (g),g,6.04,6.04,51182010
"Fiber, total dietary (g)",g,3.11,3.11,51182010
Energy (kcal),kcal,336.4,336.4,51182010
Protein (g),g,6.05,6.05,51182020
Carbohydrate (g),g,52.68,52.68,51182020
Total Fat (g),g,5.1,5.1,51182020
"Fiber, total dietary (g)",g,3.44,3.44,51182020
Energy (kcal),kcal,280.8,280.8,51182020
Protein (g),g,9.92,9.92,51183990
Carbohydrate (g),g,62.82,62.82,51183990
Total Fat (g),g,4.71,4.71,51183990
"Fiber, total dietary (g)",g,4.94,4.94,51183990
Energy (kcal),kcal,333.3,333.3,51183990
Protein (g),g,7.44,7.44,51184000
Carbohydrate (g),g,57.1,57.1,51184000
Total Fat (g),g,4.93,4.93,51184000
"Fiber, total dietary (g)",g,3.09,3.09,51184000
Energy (kcal),kcal,302.5,302.5,51184000
Protein (g),g,10.05,10.05,51184100
